SurveyNum,Date,Date2,Study_period,Observer,Site_ID,Proportion_surveyed,Region,Sub_region,Location,Type,Depth_ft,trans_area,Site_area_m2
1438,6/15/2014,Summer 2014,9,"Lad, Keri, Jes, Jessie",DANGER 88,1,Florida,FKNMS,Key Largo,patch,10,94.5,189
2194,8/4/2014,Summer 2014,10,Emily and Jessie,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,10,94.5,189
2195,8/4/2014,Summer 2014,10,Liz and Jeremy,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,10,94.5,189
2256,9/4/2014,Fall 2014,11,Lad and Amy,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,8,94.5,189
2257,9/4/2014,Fall 2014,11,Liz and Alyssa,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,9,94.5,189
2325,9/24/2014,Fall 2014,12,Alyssa and Anna,DANGER 88,0.33,Florida,FKNMS,Key Largo,patch,8,94.5,189
2326,9/24/2014,Fall 2014,12,Alyssa and Anna,DANGER 88,0.33,Florida,FKNMS,Key Largo,patch,8,94.5,189
2327,9/24/2014,Fall 2014,12,Alyssa and Anna,DANGER 88,0.33,Florida,FKNMS,Key Largo,patch,8,94.5,189
2414,12/9/2014,Winter 2015,13,Liz and Alyssa,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,8,94.5,189
2415,12/9/2014,Winter 2015,13,Anna and Ashtyn,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,8,94.5,189
2501,1/21/2015,Winter 2015,14,Liz and BZ,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,10,94.5,189
2502,1/21/2015,Winter 2015,14,Anna and Jack,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,10,94.5,189
2646,3/24/2015,Spring 2015,15,Jack and Allison,DANGER 88,0.33,Florida,FKNMS,Key Largo,patch,10,94.5,189
2647,3/24/2015,Spring 2015,15,Jack and Allison,DANGER 88,0.33,Florida,FKNMS,Key Largo,patch,10,94.5,189
2648,3/24/2015,Spring 2015,15,Jack and Allison,DANGER 88,0.33,Florida,FKNMS,Key Largo,patch,10,94.5,189
2697,5/20/2015,Spring 2015,16,Lizard and BZ,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,10,94.5,189
2698,5/20/2015,Spring 2015,16,Anna and Ashtyn,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,8,94.5,189
2772,7/20/2015,Summer 2015,17,Emily and Lad,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,8,94.5,189
2773,7/20/2015,Summer 2015,17,Miranda and Kara,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,8,94.5,189
5100,8/29/2016,Summer 2016,20,Michelle Johnston,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,63,100,7850
5101,8/29/2016,Summer 2016,20,Kevin Buch,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,73,100,7850
5102,8/29/2016,Summer 2016,20,Stephanie Green,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,75,100,7850
5103,8/29/2016,Summer 2016,20,Raven Walker,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,65,100,7850
5104,8/29/2016,Summer 2016,20,Michelle Johnston,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,63,100,7850
5105,8/29/2016,Summer 2016,20,Kevin Buch,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,73,100,7850
5106,8/29/2016,Summer 2016,20,Stephanie Green,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,75,100,7850
5107,8/29/2016,Summer 2016,20,Raven Walker,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,70,100,7850
5108,8/29/2016,Summer 2016,20,Stephanie Green,WFGB#2,0.25,FGBNMS,FGBNMS,West Bank,continuous,80,100,7850
5109,8/29/2016,Summer 2016,20,Stephanie Green,WFGB#2,0.25,FGBNMS,FGBNMS,West Bank,continuous,85,100,7850
5110,8/29/2016,Summer 2016,20,Kevin Buch,WFGB#2,0.25,FGBNMS,FGBNMS,West Bank,continuous,80,100,7850
5111,8/29/2016,Summer 2016,20,Michelle Johnston,WFGB#2,0.25,FGBNMS,FGBNMS,West Bank,continuous,70,100,7850
5112,8/29/2016,Summer 2016,20,Steve Gitings,WFGB#2,0.25,FGBNMS,FGBNMS,West Bank,continuous,81,100,7850
5113,8/29/2016,Summer 2016,20,Stephanie Green,WFGB#2,0.25,FGBNMS,FGBNMS,West Bank,continuous,79,100,7850
5114,8/29/2016,Summer 2016,20,Kevin Buch,WFGB#2,0.25,FGBNMS,FGBNMS,West Bank,continuous,80,100,7850
5115,8/29/2016,Summer 2016,20,Michelle Johnston,WFGB#2,0.25,FGBNMS,FGBNMS,West Bank,continuous,76,100,7850
5116,8/30/2016,Summer 2016,20,Kevin Buch,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,75,100,7850
5117,8/30/2016,Summer 2016,20,Stephanie Green,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,73,100,7850
5118,8/30/2016,Summer 2016,20,Michelle Johnston,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,80,100,7850
5119,8/30/2016,Summer 2016,20,Raven Walker,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,78,100,7850
5120,8/30/2016,Summer 2016,20,Kevin Buch,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,75,100,7850
5121,8/30/2016,Summer 2016,20,Stephanie Green,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,73,100,7850
5122,8/30/2016,Summer 2016,20,Michelle Johnston,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,80,100,7850
5123,8/30/2016,Summer 2016,20,Raven Walker,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,78,100,7850
5300,6/26/2018,Summer 2018,23,Andrea Stromeyer,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,70,100,7850
5301,6/26/2018,Summer 2018,23,Derek Hogan,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,72,100,7850
5302,6/26/2018,Summer 2018,23,Bill Hall,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,80,100,7850
5303,6/26/2018,Summer 2018,23,Steve Gittings,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,75,100,7850
5304,6/26/2018,Summer 2018,23,Andrea Stromeyer,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,70,100,7850
5305,6/26/2018,Summer 2018,23,Derek Hogan,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,72,100,7850
5306,6/26/2018,Summer 2018,23,Kris Leefers,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,74,100,7850
5307,6/26/2018,Summer 2018,23,Steve Gittings,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,72,100,7850
5308,6/26/2018,Summer 2018,23,Steve Gittings,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,90,100,7850
5309,6/26/2018,Summer 2018,23,,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,80,100,7850
5310,6/26/2018,Summer 2018,23,Derek Hogan,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,75,100,7850
5311,6/26/2018,Summer 2018,23,Bill Hall,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,80,100,7850
5312,6/26/2018,Summer 2018,23,Steve Gittings,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,75,100,7850
5313,6/26/2018,Summer 2018,23,Andrea Stromeyer,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,80,100,7850
5314,6/26/2018,Summer 2018,23,Derek Hogan,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,75,100,7850
5315,6/26/2018,Summer 2018,23,Kris Leefers,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,75,100,7850
5401,8/26/2019,Summer 2019,26,Kelly Drinnen,WFGB#2,0.25,FGBNMS,FGBNMS,West Bank,continuous,79,100,7850
5402,8/26/2019,Summer 2019,26,Darcy Lutes,WFGB#2,0.25,FGBNMS,FGBNMS,West Bank,continuous,100,100,7850
5403,8/26/2019,Summer 2019,26,Leah Neal,WFGB#2,0.25,FGBNMS,FGBNMS,West Bank,continuous,71,100,7850
5404,8/26/2019,Summer 2019,26,Kevin Buch,WFGB#2,0.25,FGBNMS,FGBNMS,West Bank,continuous,76,100,7850
5429,8/28/2019,Summer 2019,26,Leah Neal,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,60,100,7850
5430,8/28/2019,Summer 2019,26,Kevin Buch,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,70,100,7850
5431,8/28/2019,Summer 2019,26,Kelly Drinnen,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,72,100,7850
5432,8/28/2019,Summer 2019,26,Darcy Lutes,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,65,100,7850
5433,8/28/2019,Summer 2019,26,Leah Neal,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,60,100,7850
5434,8/28/2019,Summer 2019,26,Kevin Buch,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,70,100,7850
5435,8/28/2019,Summer 2019,26,Kelly Drinnen,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,72,100,7850
5436,8/28/2019,Summer 2019,26,Darcy Lutes,WFGB#3,0.25,FGBNMS,FGBNMS,West Bank,continuous,65,100,7850
5437,8/28/2019,Summer 2019,26,Leah Neal,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,100,100,7850
5438,8/28/2019,Summer 2019,26,Kelly Drinnen,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,72,100,7850
5439,8/28/2019,Summer 2019,26,Darcy Lutes,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,72,100,7850
5440,8/28/2019,Summer 2019,26,Kevin Buch,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,77,100,7850
5441,8/28/2019,Summer 2019,26,Leah Neal,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,73,100,7850
5442,8/28/2019,Summer 2019,26,Kelly Drinnen,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,69,100,7850
5443,8/28/2019,Summer 2019,26,Darcy Lutes,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,72,100,7850
5444,8/28/2019,Summer 2019,26,Kevin Buch,WFGB#1,0.25,FGBNMS,FGBNMS,West Bank,continuous,75,100,7850
2882,10/30/2015,Fall 2015,18,Ed and Olivia,KL-P2,0.33,Florida,FKNMS,Key Largo,patch,19,108,171
2883,10/30/2015,Fall 2015,18,Ed and Olivia,KL-P2,0.33,Florida,FKNMS,Key Largo,patch,19,108,171
2884,10/30/2015,Fall 2015,18,Ed and Olivia,KL-P2,0.33,Florida,FKNMS,Key Largo,patch,19,108,171
2798,7/23/2015,Summer 2015,17,Emily and Lad,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,15,117,171
2799,7/23/2015,Summer 2015,17,Carlos and Allison Estape,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,17,117,171
39,2/4/2013,Winter 2013,1,Alex Kattan,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,21,133,266
40,2/4/2013,Winter 2013,1,Mackenzie Brooke,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,21,133,266
131,4/21/2013,Spring 2013,2,Ben Barker,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,25,133,266
132,4/21/2013,Spring 2013,2,Anne/Lad,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,23,133,266
177,6/12/2013,Summer 2013,3,Catie/Lindsay,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,15,133,266
178,6/12/2013,Summer 2013,3,Alexis/Alex,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,22,133,266
187,7/22/2013,Summer 2013,4,Alex/Catie,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,19,133,266
188,7/22/2013,Summer 2013,4,Alex/Catie,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,24,133,266
265,10/5/2013,Fall 2013,5,Austen,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,19,133,266
266,10/5/2013,Fall 2013,5,Austen,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,20,133,266
323,11/22/2013,Fall 2013,6,Steve Schalk (Pennekamp),KL-P6,1,Florida,FKNMS,Key Largo,patch,21,133,266
370,2/10/2014,Winter 2014,7,Adam and Taylor,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,24,133,266
371,2/10/2014,Winter 2014,7,Liz and Jess,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,24,133,266
415,3/15/2014,Spring 2014,8,Jess and Taylor,KL-P6,0.33,Florida,FKNMS,Key Largo,patch,23,133,266
416,3/15/2014,Spring 2014,8,Jess and Taylor,KL-P6,0.33,Florida,FKNMS,Key Largo,patch,23,133,266
417,3/15/2014,Spring 2014,8,Jess and Taylor,KL-P6,0.33,Florida,FKNMS,Key Largo,patch,23,133,266
1451,5/28/2014,Spring 2014,9,Trudy and Ernie,KL-P6,1,Florida,FKNMS,Key Largo,patch,23,133,266
2216,8/12/2014,Summer 2014,10,Liz and Emily,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,26,133,266
2217,8/12/2014,Summer 2014,10,Jes and Jessie,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,17,133,266
2240,9/2/2014,Fall 2014,11,Lad and Gracie,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,21,133,266
2241,9/2/2014,Fall 2014,11,Liz and Anna,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,21,133,266
2318,9/22/2014,Fall 2014,12,Alyssa and Anna,KL-P6,0.33,Florida,FKNMS,Key Largo,patch,20,133,266
2319,9/22/2014,Fall 2014,12,Alyssa and Anna,KL-P6,0.33,Florida,FKNMS,Key Largo,patch,20,133,266
2320,9/22/2014,Fall 2014,12,Alyssa and Anna,KL-P6,0.33,Florida,FKNMS,Key Largo,patch,20,133,266
2422,12/9/2014,Winter 2015,13,Liz and Alyssa,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,17,133,266
2423,12/9/2014,Winter 2015,13,Anna and Ashtyn,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,20,133,266
2517,1/22/2015,Winter 2015,14,Liz and BZ,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,22,133,266
2518,1/22/2015,Winter 2015,14,Amy and Kristen,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,8,133,266
2656,3/25/2015,Spring 2015,15,Amy and Anna,KL-P6,0.33,Florida,FKNMS,Key Largo,patch,20,133,266
2657,3/25/2015,Spring 2015,15,Amy and Anna,KL-P6,0.33,Florida,FKNMS,Key Largo,patch,20,133,266
2658,3/25/2015,Spring 2015,15,Amy and Anna,KL-P6,0.33,Florida,FKNMS,Key Largo,patch,20,133,266
2705,5/20/2015,Spring 2015,16,Lizard and BZ,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,21,133,266
2706,5/20/2015,Spring 2015,16,Anna and Ashtyn,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,22,133,266
2891,10/30/2015,Fall 2015,18,Ed and Olivia,KL-P6,0.33,Florida,FKNMS,Key Largo,patch,26,154,266
2892,10/30/2015,Fall 2015,18,Ed and Olivia,KL-P6,0.33,Florida,FKNMS,Key Largo,patch,26,154,266
2893,10/30/2015,Fall 2015,18,Ed and Olivia,KL-P6,0.33,Florida,FKNMS,Key Largo,patch,26,154,266
2806,7/24/2015,Summer 2015,17,Emily and Lad,FKSP1,0.5,Florida,FKNMS,Matecumbe Key,patch,12,180,432
2807,7/24/2015,Summer 2015,17,Carlos and Allison Estape,FKSP1,0.5,Florida,FKNMS,Matecumbe Key,patch,15,180,432
2780,7/21/2015,Summer 2015,17,Emily and Lad,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,21,182,266
2781,7/21/2015,Summer 2015,17,Ellie and Amy,KL-P6,0.5,Florida,FKNMS,Key Largo,patch,21,182,266
24,2/3/2013,Winter 2013,1,Jen Savaro,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,15,192,384
26,2/3/2013,Winter 2013,1,Kayelyn S,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,15,192,384
110,3/19/2013,Spring 2013,2,Lad,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,12,192,384
111,3/19/2013,Spring 2013,2,Lindsay Sweet,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,15,192,384
149,6/3/2013,Summer 2013,3,Catie/Alex,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,11,192,384
150,6/3/2013,Summer 2013,3,Steve,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,11,192,384
183,7/22/2013,Summer 2013,4,Alex/Catie/Trudy,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,18,192,384
184,7/22/2013,Summer 2013,4,Alex/Catie/Trudy,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,18,192,384
283,10/7/2013,Fall 2013,5,Colin and Catie,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,13,192,384
284,10/7/2013,Fall 2013,5,Colin and Catie,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,13,192,384
320,11/22/2013,Fall 2013,6,Steve Schalk (Pennekamp),KL-P4,0.5,Florida,FKNMS,Key Largo,patch,15,192,384
321,11/22/2013,Fall 2013,6,Steve Schalk (Pennekamp),KL-P4,0.5,Florida,FKNMS,Key Largo,patch,15,192,384
374,2/10/2014,Winter 2014,7,Adam and Taylor,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,15,192,384
375,2/10/2014,Winter 2014,7,Liz and Jess,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,16,192,384
421,3/15/2014,Spring 2014,8,Jess and Taylor,KL-P4,0.33,Florida,FKNMS,Key Largo,patch,14,192,384
422,3/15/2014,Spring 2014,8,Jess and Taylor,KL-P4,0.33,Florida,FKNMS,Key Largo,patch,14,192,384
423,3/15/2014,Spring 2014,8,Jess and Taylor,KL-P4,0.33,Florida,FKNMS,Key Largo,patch,14,192,384
1448,5/28/2014,Spring 2014,9,Becky and Charilie,KL-P4,1,Florida,FKNMS,Key Largo,patch,17,192,384
2212,8/12/2014,Summer 2014,10,Liz and Emily,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,19,192,384
2213,8/12/2014,Summer 2014,10,Jes and Jessie,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,17,192,384
2266,9/5/2014,Fall 2014,11,Lad and Alyssa,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,15,192,384
2267,9/5/2014,Fall 2014,11,Liz and Ashtyn,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,15,192,384
2331,9/24/2014,Fall 2014,12,Alyssa and Anna,KL-P4,0.33,Florida,FKNMS,Key Largo,patch,15,192,384
2332,9/24/2014,Fall 2014,12,Alyssa and Anna,KL-P4,0.33,Florida,FKNMS,Key Largo,patch,15,192,384
2333,9/24/2014,Fall 2014,12,Alyssa and Anna,KL-P4,0.33,Florida,FKNMS,Key Largo,patch,15,192,384
2426,12/9/2014,Winter 2015,13,Anna and Ashtyn,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,15,192,384
2427,12/9/2014,Winter 2015,13,Liz and Alyssa,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,14,192,384
2521,1/22/2015,Winter 2015,14,Liz and BZ,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,15,192,384
2522,1/22/2015,Winter 2015,14,Amy and Kristen,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,17,192,384
2672,3/26/2015,Spring 2015,15,Jack and BZ,KL-P4,0.33,Florida,FKNMS,Key Largo,patch,17,192,384
2673,3/26/2015,Spring 2015,15,Jack and BZ,KL-P4,0.33,Florida,FKNMS,Key Largo,patch,17,192,384
2674,3/26/2015,Spring 2015,15,Jack and BZ,KL-P4,0.33,Florida,FKNMS,Key Largo,patch,17,192,384
2709,5/20/2015,Spring 2015,16,Lizard and BZ,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,13,192,384
2710,5/20/2015,Spring 2015,16,Anna and Ashtyn,KL-P4,0.5,Florida,FKNMS,Key Largo,patch,11,192,384
2885,10/30/2015,Fall 2015,18,Ed and Olivia,KL-P4,0.33,Florida,FKNMS,Key Largo,patch,16,192,384
2886,10/30/2015,Fall 2015,18,Ed and Olivia,KL-P4,0.33,Florida,FKNMS,Key Largo,patch,18,192,384
2887,10/30/2015,Fall 2015,18,Ed and Olivia,KL-P4,0.33,Florida,FKNMS,Key Largo,patch,20,192,384
1,1/26/2013,Winter 2013,1,Allison,FKSP1,1,Florida,FKNMS,Matecumbe Key,patch,13,216,432
124,4/3/2013,Spring 2013,2,Danielle,FKSP1,1,Florida,FKNMS,Matecumbe Key,patch,12,216,432
